"unit","qudtUnit","qudtLabel","qudtUri","qudtDimensionVector","qudtConversionMultiplier","nonLatexDescription","latexDescription","TotalUses"
"[pk_br]","PK_UK","Peck (UK)","http://qudt.org/vocab/unit/PK_UK","http://qudt.org/vocab/dimensionvector/A0E0L3I0M0H0T0D0",0.009092181,NA,NA,0
"[pH]","PH","Acidity","http://qudt.org/vocab/unit/PH","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T0D1",NA,NA,NA,0
"[pca]","PCA","Pica","http://qudt.org/vocab/unit/PCA","http://qudt.org/vocab/dimensionvector/A0E0L1I0M0H0T0D0",0.0042333,"A pica is a typographic unit of measure corresponding to 1/72 of its respective foot, and therefore to 1/6 of an inch. The pica contains 12 point units of measure. Notably, Adobe PostScript promoted the pica unit of measure that is the standard in contemporary printing, as in home computers and printers. Usually, pica measurements are represented with an upper-case 'P' with an upper-right-to-lower-left virgule (slash) starting in the upper right portion of the 'P' and ending at the lower left of the upright portion of the 'P'; essentially drawing a virgule (/) through a 'P'.  Note that these definitions are different from a typewriter's pica setting, which denotes a type size of ten characters per horizontal inch.",NA,0
"[ozf_av].[in_i]","OZ_F-IN","Imperial Ounce Force Inch","http://qudt.org/vocab/unit/OZ_F-IN","http://qudt.org/vocab/dimensionvector/A0E0L2I0M1H0T-2D0",0.0706155243,NA,"""Ounce Force Inch"" is an Imperial unit for  'Torque' expressed as \(ozf-in\).",0
"[ozf_av]","OZ_F","Imperial Ounce Force","http://qudt.org/vocab/unit/OZ_F","http://qudt.org/vocab/dimensionvector/A0E0L1I0M1H0T-2D0",0.278013875,NA,"""Ounce Force"" is an Imperial unit for  'Force' expressed as \(ozf\).",0
"[oz_tr]","OZ_TROY","Ounce Troy","http://qudt.org/vocab/unit/OZ_TROY","http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H0T0D0",0.0311034768,"An obsolete unit of mass; the Troy Ounce is 1/12th of a Troy Pound. Based on the international definition of a Troy Pound as 5760 grains, the Troy Ounce is exactly 480 grains, or 0.0311034768 kg.",NA,0
"[oz_av].s-1","OZ-PER-SEC","Ounce (avoirdupois) Per Second","http://qudt.org/vocab/unit/OZ-PER-SEC","http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H0T-1D0",0.02834952,NA,NA,0
"[oz_av].min-1","OZ-PER-MIN","Ounce (avoirdupois) Per Minute","http://qudt.org/vocab/unit/OZ-PER-MIN","http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H0T-1D0",0.000472492,NA,NA,0
"[oz_av].h-1","OZ-PER-HR","Ounce (avoirdupois) Per Hour","http://qudt.org/vocab/unit/OZ-PER-HR","http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H0T-1D0",7.87487e-06,NA,NA,0
"[oz_av].d-1","OZ-PER-DAY","Ounce (avoirdupois) Per Day","http://qudt.org/vocab/unit/OZ-PER-DAY","http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H0T-1D0",3.2812e-07,NA,NA,0
"[oz_av].[syd_i]-1","OZ-PER-YD2","Imperial Mass Ounce per Square Yard","http://qudt.org/vocab/unit/OZ-PER-YD2","http://qudt.org/vocab/dimensionvector/A0E0L-2I0M1H0T0D0",0.0339057474748823,NA,"""Ounce per Square Yard"" is an Imperial unit for  'Mass Per Area' expressed as \(oz/yd^{2}\).",0
"[oz_av].[sft_i]-1","OZ-PER-FT2","Imperial Mass Ounce per Square Foot","http://qudt.org/vocab/unit/OZ-PER-FT2","http://qudt.org/vocab/dimensionvector/A0E0L-2I0M1H0T0D0",0.305151727,NA,"""Ounce per Square Foot"" is an Imperial unit for  'Mass Per Area' expressed as \(oz/ft^{2}\).",0
"[oz_av].[in_i]","OZ-IN","Ounce (avoirdupois) Inch","http://qudt.org/vocab/unit/OZ-IN","http://qudt.org/vocab/dimensionvector/A0E0L1I0M1H0T0D0",0.000694563,NA,NA,0
"[oz_av].[gal_us]-1","OZ-PER-GAL_US","Ounce (avoirdupois) Per Gallon (US)","http://qudt.org/vocab/unit/OZ-PER-GAL_US","http://qudt.org/vocab/dimensionvector/A0E0L-3I0M1H0T0D0",7.8125,NA,NA,0
"[oz_av].[gal_br]-1","OZ-PER-GAL","Imperial Mass Ounce per Gallon","http://qudt.org/vocab/unit/OZ-PER-GAL","http://qudt.org/vocab/dimensionvector/A0E0L-3I0M1H0T0D0",6.23602329,NA,"""Ounce per Gallon"" is an Imperial unit for  'Density' expressed as \(oz/gal\).",0
"[oz_av].[gal_br]-1","OZ-PER-GAL_UK","Ounce (avoirdupois) Per Gallon (UK)","http://qudt.org/vocab/unit/OZ-PER-GAL_UK","http://qudt.org/vocab/dimensionvector/A0E0L-3I0M1H0T0D0",6.236,NA,NA,0
"[oz_av].[ft_i]","OZ-FT","Ounce (avoirdupois) Foot","http://qudt.org/vocab/unit/OZ-FT","http://qudt.org/vocab/dimensionvector/A0E0L1I0M1H0T0D0",0.0086409,NA,NA,0
"[oz_av].[cyd_i]-1","OZ-PER-YD3","Ounce (avoirdupois) Per Cubic Yard","http://qudt.org/vocab/unit/OZ-PER-YD3","http://qudt.org/vocab/dimensionvector/A0E0L-3I0M1H0T0D0",0.0370798,NA,NA,0
"[oz_av].[cin_i]-1","OZ-PER-IN3","Imperial Mass Ounce per Cubic Inch","http://qudt.org/vocab/unit/OZ-PER-IN3","http://qudt.org/vocab/dimensionvector/A0E0L-3I0M1H0T0D0",1729.99404,NA,"""Ounce per Cubic Inch"" is an Imperial unit for  'Density' expressed as \(oz/in^{3}\).",0
"[oz_av]","OZ","Ounce Mass","http://qudt.org/vocab/unit/OZ","http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H0T0D0",0.028349523125,"An ounce of mass is 1/16th of a pound of mass, based on the international standard definition of the pound as exactly 0.45359237 kg.",NA,0
"[nmi_i]/min","MI_N-PER-MIN","Nautical Mile per Minute","http://qudt.org/vocab/unit/MI_N-PER-MIN","http://qudt.org/vocab/dimensionvector/A0E0L1I0M0H0T-1D0",NA,"The SI derived unit for speed is the meter/second.
1 meter/second is equal to 0.0323974082073 nautical mile per minute.",NA,0
"[nmi_i]/h","MI_N-PER-HR","Nautical Mile per Hour","http://qudt.org/vocab/unit/MI_N-PER-HR","http://qudt.org/vocab/dimensionvector/A0E0L1I0M0H0T-1D0",0.514444,"The knot is a unit of speed equal to one nautical mile (1.852 km) per hour, approximately 1.151 mph. The abbreviation kn is preferred by the International Hydrographic Organization (IHO), which includes every major seafaring nation; but the abbreviations kt (singular) and kts (plural) are also widely used conflicting with the SI symbol for kilotonne which is also ""kt"". The knot is a non-SI unit accepted for use with the International System of Units (SI). Worldwide, the knot is used in meteorology, and in maritime and air navigation-for example, a vessel travelling at 1 knot along a meridian travels one minute of geographic latitude in one hour.",NA,0
"[nmi_i].min-1","MI_N-PER-MIN","Nautical Mile per Minute","http://qudt.org/vocab/unit/MI_N-PER-MIN","http://qudt.org/vocab/dimensionvector/A0E0L1I0M0H0T-1D0",NA,"The SI derived unit for speed is the meter/second.
1 meter/second is equal to 0.0323974082073 nautical mile per minute.",NA,0
"[nmi_i].h-1","MI_N-PER-HR","Nautical Mile per Hour","http://qudt.org/vocab/unit/MI_N-PER-HR","http://qudt.org/vocab/dimensionvector/A0E0L1I0M0H0T-1D0",0.514444,"The knot is a unit of speed equal to one nautical mile (1.852 km) per hour, approximately 1.151 mph. The abbreviation kn is preferred by the International Hydrographic Organization (IHO), which includes every major seafaring nation; but the abbreviations kt (singular) and kts (plural) are also widely used conflicting with the SI symbol for kilotonne which is also ""kt"". The knot is a non-SI unit accepted for use with the International System of Units (SI). Worldwide, the knot is used in meteorology, and in maritime and air navigation-for example, a vessel travelling at 1 knot along a meridian travels one minute of geographic latitude in one hour.",NA,0
"[nmi_i]","MI_N","Nautical Mile","http://qudt.org/vocab/unit/MI_N","http://qudt.org/vocab/dimensionvector/A0E0L1I0M0H0T0D0",1852,"A unit of distance used primarily at sea and in aviation. The nautical mile is defined to be the average distance on the Earth's surface represented by one minute of latitude.  In 1929 an international conference in Monaco redefined the nautical mile to be exactly 1852 meters or 6076.115 49 feet, a distance known as the international nautical mile. The international nautical mile equals about 1.1508 statute miles. There are usually 3 nautical miles in a league. The unit is designed to equal 1/60 degree, although actual degrees of latitude vary from about 59.7 to 60.3 nautical miles. (Note: using data from the Geodetic Reference System 1980, the ""true"" length of a nautical mile would be 1852.216 meters.)",NA,0
"[mu_0]","PERMEABILITY_EM_REL","Relative Electromagnetic Permeability","http://qudt.org/vocab/unit/PERMEABILITY_EM_REL","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T0D1",1,NA,"Relative permeability, denoted by the symbol \(\mu _T\), is the ratio of the permeability of a specific medium to the permeability of free space \(\mu _0\)",0
"[mil_i]","MilLength","Mil Length","http://qudt.org/vocab/unit/MilLength","http://qudt.org/vocab/dimensionvector/A0E0L1I0M0H0T0D0",2.54e-05,NA,"""Mil Length"" is a C.G.S System unit for  'Length' expressed as \(mil\).",0
"[mi_us]2","MI2","Square Mile","http://qudt.org/vocab/unit/MI2","http://qudt.org/vocab/dimensionvector/A0E0L2I0M0H0T0D0",2589988.11,"The square mile (abbreviated as sq mi and sometimes as mi) is an imperial and US unit of measure for an area equal to the area of a square of one statute mile. It should not be confused with miles square, which refers to the number of miles on each side squared. For instance, 20 miles square (20 × 20 miles) is equal to 400 square miles. One square mile is equivalent to: 4,014,489,600 square inches 27,878,400 square feet, 3,097,600 square yards, 640 acres, 258.9988110336 hectares, 2560 roods, 25,899,881,103.36 square centimetres, 2,589,988.110336 square metres, 2.589988110336 square kilometres When applied to a portion of the earth's surface, which is curved rather than flat, 'square mile' is an informal synonym for section.",NA,0
"[mi_us]","MI_US","Mile US Statute","http://qudt.org/vocab/unit/MI_US","http://qudt.org/vocab/dimensionvector/A0E0L1I0M0H0T0D0",1609.347,"The exact length of the land mile varied slightly among English-speaking countries until the international yard and pound agreement in 1959 established the yard as exactly 0.9144 metres, giving a mile of exactly 1,609.344 metres. The United States adopted this international mile for most purposes, but retained the pre-1959 mile for some land-survey data, terming it the US survey mile. In the US, statute mile formally refers to the survey mile, about 3.219 mm (1/8 inch) longer than the international mile (the international mile is exactly 0.0002\% less than the US survey mile).",NA,0
"[mi_i]3","MI3","Cubic Mile","http://qudt.org/vocab/unit/MI3","http://qudt.org/vocab/dimensionvector/A0E0L3I0M0H0T0D0",4168181830,"A cubic mile is an imperial / U.S. customary unit of volume, used in the United States, Canada, and the United Kingdom. It is defined as the volume of a cube with sides of 1 mile in length.",NA,0
"[mi_i]2","MI2","Square Mile","http://qudt.org/vocab/unit/MI2","http://qudt.org/vocab/dimensionvector/A0E0L2I0M0H0T0D0",2589988.11,"The square mile (abbreviated as sq mi and sometimes as mi) is an imperial and US unit of measure for an area equal to the area of a square of one statute mile. It should not be confused with miles square, which refers to the number of miles on each side squared. For instance, 20 miles square (20 × 20 miles) is equal to 400 square miles. One square mile is equivalent to: 4,014,489,600 square inches 27,878,400 square feet, 3,097,600 square yards, 640 acres, 258.9988110336 hectares, 2560 roods, 25,899,881,103.36 square centimetres, 2,589,988.110336 square metres, 2.589988110336 square kilometres When applied to a portion of the earth's surface, which is curved rather than flat, 'square mile' is an informal synonym for section.",NA,0
"[mi_i]/sec","MI-PER-SEC","Mile per Second","http://qudt.org/vocab/unit/MI-PER-SEC","http://qudt.org/vocab/dimensionvector/A0E0L1I0M0H0T-1D0",1609.344,"Miles per second is an imperial unit of speed expressing the number of statute miles covered in one second.",NA,0
"[mi_i]/min","MI-PER-MIN","Mile per Minute","http://qudt.org/vocab/unit/MI-PER-MIN","http://qudt.org/vocab/dimensionvector/A0E0L1I0M0H0T-1D0",26.8224,"Miles per minute is an imperial unit of speed expressing the number of statute miles covered in one minute.",NA,0
"[mi_i]/h","MI-PER-HR","Mile per Hour","http://qudt.org/vocab/unit/MI-PER-HR","http://qudt.org/vocab/dimensionvector/A0E0L1I0M0H0T-1D0",0.44704,"Miles per hour is an imperial unit of speed expressing the number of statute miles covered in one hour. It is currently the standard unit used for speed limits, and to express speeds generally, on roads in the United Kingdom and the United States. A common abbreviation is mph or MPH.",NA,0
"[mi_i].sec-1","MI-PER-SEC","Mile per Second","http://qudt.org/vocab/unit/MI-PER-SEC","http://qudt.org/vocab/dimensionvector/A0E0L1I0M0H0T-1D0",1609.344,"Miles per second is an imperial unit of speed expressing the number of statute miles covered in one second.",NA,0
"[mi_i].min-1","MI-PER-MIN","Mile per Minute","http://qudt.org/vocab/unit/MI-PER-MIN","http://qudt.org/vocab/dimensionvector/A0E0L1I0M0H0T-1D0",26.8224,"Miles per minute is an imperial unit of speed expressing the number of statute miles covered in one minute.",NA,0
"[mi_i].h-1","MI-PER-HR","Mile per Hour","http://qudt.org/vocab/unit/MI-PER-HR","http://qudt.org/vocab/dimensionvector/A0E0L1I0M0H0T-1D0",0.44704,"Miles per hour is an imperial unit of speed expressing the number of statute miles covered in one hour. It is currently the standard unit used for speed limits, and to express speeds generally, on roads in the United Kingdom and the United States. A common abbreviation is mph or MPH.",NA,0
"[mi_i]","MI","International Mile","http://qudt.org/vocab/unit/MI","http://qudt.org/vocab/dimensionvector/A0E0L1I0M0H0T0D0",1609.344,"The exact length of the land mile varied slightly among English-speaking countries until the international yard and pound agreement in 1959 established the yard as exactly 0.9144 metres, giving a mile of exactly 1,609.344 metres. The United States adopted this international mile for most purposes, but retained the pre-1959 mile for some land-survey data, terming it the US survey mile. In the US, statute mile formally refers to the survey mile, about 3.219 mm (1/8 inch) longer than the international mile (the international mile is exactly 0.0002% less than the US survey mile).",NA,0
"[mesh_i]","MESH","Mesh","http://qudt.org/vocab/unit/MESH","http://qudt.org/vocab/dimensionvector/A0E0L-1I0M0H0T0D0",0,NA,NA,0
"[ly]","LY","Light Year","http://qudt.org/vocab/unit/LY","http://qudt.org/vocab/dimensionvector/A0E0L1I0M0H0T0D0",9460730472580800,"A unit of length defining the distance, in meters, that light travels in a vacuum in one year.",NA,0
"[lton_av]/[cyd_i]","TON_LONG-PER-YD3","Long Ton per Cubic Yard","http://qudt.org/vocab/unit/TON_LONG-PER-YD3","http://qudt.org/vocab/dimensionvector/A0E0L-3I0M1H0T0D0",1328.93918361743,"The long ton per cubic yard density measurement unit is used to measure volume in cubic yards in order to estimate weight or mass in long tons.",NA,0
"[lton_av].d-1","TON_UK-PER-DAY","Long Ton (uk) Per Day","http://qudt.org/vocab/unit/TON_UK-PER-DAY","http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H0T-1D0",0.011759259259259,NA,NA,0
"[lton_av].[cyd_i]-1","TON_UK-PER-YD3","Long Ton (UK) Per Cubic Yard","http://qudt.org/vocab/unit/TON_UK-PER-YD3","http://qudt.org/vocab/dimensionvector/A0E0L-3I0M1H0T0D0",1328.87782922342,NA,NA,0
"[lton_av]","TON_LONG","Long Ton","http://qudt.org/vocab/unit/TON_LONG","http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H0T0D0",1016.0469088,"Long ton (weight ton or imperial ton) is the name for the unit called the ""ton"" in the avoirdupois or Imperial system of measurements, as used in the United Kingdom and several other Commonwealth countries. One long ton is equal to 2,240 pounds (1,016 kg), 1.12 times as much as a short ton, or 35 cubic feet (0.9911 m3) of salt water with a density of 64 lb/ft3 (1.025 g/ml).</p>
<p>It has some limited use in the United States, most commonly in measuring the displacement of ships, and was the unit prescribed for warships by the Washington Naval Treaty 1922-for example battleships were limited to a mass of 35,000 long tons (36,000 t; 39,000 short tons).</p>",NA,0
"[lton_av]","TON_UK","Ton (UK)","http://qudt.org/vocab/unit/TON_UK","http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H0T0D0",1016,NA,NA,0
"[lcwt_av]","CWT_LONG","Long Hundred Weight","http://qudt.org/vocab/unit/CWT_LONG","http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H0T0D0",50.80235,NA,"""Hundred Weight - Long"" is a unit for  'Mass' expressed as \(cwt\).",0
"[lcwt_av]","Hundredweight_UK","Hundredweight (UK)","http://qudt.org/vocab/unit/Hundredweight_UK","http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H0T0D0",50.80235,NA,NA,0
"[lbf_av].s.[sin_i]-1","LB_F-SEC-PER-IN2","Pound Force Second per Square Inch","http://qudt.org/vocab/unit/LB_F-SEC-PER-IN2","http://qudt.org/vocab/dimensionvector/A0E0L-1I0M1H0T-1D0",6894.75789,NA,"""Pound Force Second per Square Inch"" is an Imperial unit for  'Dynamic Viscosity' expressed as \(lbf-s/in^{2}\).",0
"[lbf_av].s.[sft_i]-1","LB_F-SEC-PER-FT2","Pound Force Second per Square Foot","http://qudt.org/vocab/unit/LB_F-SEC-PER-FT2","http://qudt.org/vocab/dimensionvector/A0E0L-1I0M1H0T-1D0",47.8802631,NA,"""Pound Force Second per Square Foot"" is an Imperial unit for  'Dynamic Viscosity' expressed as \(lbf-s/ft^{2}\).",0
"[lbf_av].[sin_i]-1.s-1","LB_F-PER-IN2-SEC","Pound Force per Square Inch Second","http://qudt.org/vocab/unit/LB_F-PER-IN2-SEC","http://qudt.org/vocab/dimensionvector/A0E0L-1I0M1H0T-3D0",6894.75789,NA,"""Pound Force per Square Inch Second"" is a unit for  'Force Per Area Time' expressed as \(lbf / in^{2}-s\).",0
"[lbf_av].[sin_i]-1.[degF]-1","LB_F-PER-IN2-DEG_F","Pound Force Per Square Inch Degree Fahrenheit","http://qudt.org/vocab/unit/LB_F-PER-IN2-DEG_F","http://qudt.org/vocab/dimensionvector/A0E0L-1I0M1H-1T-2D0",12410.56,NA,NA,0
"[lbf_av].[sin_i]-1","LB_F-PER-IN2","Pound Force per Square Inch","http://qudt.org/vocab/unit/LB_F-PER-IN2","http://qudt.org/vocab/dimensionvector/A0E0L-1I0M1H0T-2D0",6894.75789,NA,"""Pound Force per Square Inch"" is an Imperial unit for  'Force Per Area' expressed as \(psia\).",0
"[lbf_av].[sft_i]-1","LB_F-PER-FT2","Pound Force per Square Foot","http://qudt.org/vocab/unit/LB_F-PER-FT2","http://qudt.org/vocab/dimensionvector/A0E0L-1I0M1H0T-2D0",47.8802631,"Pounds or Pounds Force per Square Foot is a British (Imperial) and American pressure unit which is directly related to the psi pressure unit by a factor of 144 (1 sq ft = 12 in x 12 in = 144 sq in). 1 Pound per Square Foot equals 47.8803 Pascals. The psf pressure unit is mostly for lower pressure applications such as specifying building structures to withstand a certain wind force or rating a building floor for maximum weight load.",NA,0
"[lbf_av].[lb_av]-1","LB_F-PER-LB","Pound Force per Pound","http://qudt.org/vocab/unit/LB_F-PER-LB","http://qudt.org/vocab/dimensionvector/A0E0L1I0M0H0T-2D0",9.80665085,NA,"""Pound Force per Pound"" is an Imperial unit for  'Thrust To Mass Ratio' expressed as \(lbf/lb\).",0
"[lbf_av].[in_i]-1","LB_F-PER-IN","Pound Force per Inch","http://qudt.org/vocab/unit/LB_F-PER-IN","http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H0T-2D0",175.12685,NA,"""Pound Force per Inch"" is an Imperial unit for  'Force Per Length' expressed as \(lbf/in\).",0
"[lbf_av].[in_i]","LB_F-IN","Pound Force Inch","http://qudt.org/vocab/unit/LB_F-IN","http://qudt.org/vocab/dimensionvector/A0E0L2I0M1H0T-2D0",0.112984839,NA,"""Pound Force Inch"" is an Imperial unit for  'Torque' expressed as \(lbf-in\).",0
"[lbf_av].[ft_i].A-1","KiloLB_F-FT-PER-A","Pound Force Foot Per Ampere","http://qudt.org/vocab/unit/KiloLB_F-FT-PER-A","http://qudt.org/vocab/dimensionvector/A0E-1L2I0M1H0T-2D0",2728.30279786667,NA,NA,0
"[lbf_av].[ft_i].[lb_av]-1","KiloLB_F-FT-PER-LB","Pound Force Foot Per Pound","http://qudt.org/vocab/unit/KiloLB_F-FT-PER-LB","http://qudt.org/vocab/dimensionvector/A0E0L2I0M0H0T-2D0",2989.067,NA,NA,0
"[lbf_av].[ft_i]-1","KiloLB_F-PER-FT","Pound Force Per Foot","http://qudt.org/vocab/unit/KiloLB_F-PER-FT","http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H0T-2D0",14593.9041994751,NA,NA,0
"[lbf_av].[ft_i]-1","LB_F-PER-FT","Pound Force per Foot","http://qudt.org/vocab/unit/LB_F-PER-FT","http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H0T-2D0",14.5939042,NA,"""Pound Force per Foot"" is an Imperial unit for  'Force Per Length' expressed as \(lbf/ft\).",0
"[lbf_av].[ft_i]","LB_F-FT","Pound Force Foot","http://qudt.org/vocab/unit/LB_F-FT","http://qudt.org/vocab/dimensionvector/A0E0L2I0M1H0T-2D0",1.35581807,NA,"""Pound Force Foot"" is an Imperial unit for  'Torque' expressed as \(lbf-ft\).",0
"[lbf_av]","LB_F","Pound Force","http://qudt.org/vocab/unit/LB_F","http://qudt.org/vocab/dimensionvector/A0E0L1I0M1H0T-2D0",4.448222,NA,"""Pound Force"" is an Imperial unit for  'Force' expressed as \(lbf\).",0
"[lb_tr]","LB_T","Pound Troy","http://qudt.org/vocab/unit/LB_T","http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H0T0D0",0.3732417216,"An obsolete unit of mass; the Troy Pound has been defined as exactly 5760 grains, or 0.3732417216 kg. A Troy Ounce is 1/12th of a Troy Pound.",NA,0
"[lb_av].s-1","LB-PER-SEC","Pound (avoirdupois) Per Second","http://qudt.org/vocab/unit/LB-PER-SEC","http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H0T-1D0",0.4535924,NA,NA,0
"[lb_av].mol.[degF]","LB-MOL-DEG_F","Pound Mole Degree Fahrenheit","http://qudt.org/vocab/unit/LB-MOL-DEG_F","http://qudt.org/vocab/dimensionvector/A1E0L0I0M0H1T0D0",NA,NA,"\(\textbf{Pound Mole Degree Fahrenheit} is a unit for 'Mass Amount Of Substance Temperature' expressed as \(lb-mol-degF\).",0
"[lb_av].mol","LB-MOL","Pound Mole","http://qudt.org/vocab/unit/LB-MOL","http://qudt.org/vocab/dimensionvector/A1E0L0I0M1H0T0D0",0.45359237,NA,"<p><strong>Pound Mole</strong> is a unit for \textit{'Mass Amount Of Substance'} expressed as \(lb-mol\).</p>.",0
"[lb_av].min-1","LB-PER-MIN","Pound per Minute","http://qudt.org/vocab/unit/LB-PER-MIN","http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H0T-1D0",0.00755987283333333,NA,"""Pound per Minute"" is an Imperial unit for  'Mass Per Time' expressed as \(lb/min\).",0
"[lb_av].m-3","LB-PER-M3","Pound per Cubic Meter","http://qudt.org/vocab/unit/LB-PER-M3","http://qudt.org/vocab/dimensionvector/A0E0L-3I0M1H0T0D0",0.45359237,NA,"""Pound per Cubic Meter"" is a unit for  'Density' expressed as \(lb/m^{3}\).",0
"[lb_av].h-1","LB-PER-HR","Pound per Hour","http://qudt.org/vocab/unit/LB-PER-HR","http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H0T-1D0",0.00012599788055555,NA,"Pound per hour is a mass flow unit. It is abbreviated as PPH or more conventionally as lb/h. Fuel flow for engines is usually expressed using this unit, it is particularly useful when dealing with gases or liquids as volume flow varies more with temperature and pressure. \(1 lb/h = 0.4535927 kg/h = 126.00 mg/s\).  Minimum fuel intake on a jumbojet can be as low as 150 lb/h when idling, however this is not enough to sustain flight.",0
"[lb_av].d-1","LB-PER-DAY","Pound (avoirdupois) Per Day","http://qudt.org/vocab/unit/LB-PER-DAY","http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H0T-1D0",5.249912e-06,NA,NA,0
"[lb_av].[sin_i]-1","LB-PER-IN2","Pound (avoirdupois) Per Square Inch","http://qudt.org/vocab/unit/LB-PER-IN2","http://qudt.org/vocab/dimensionvector/A0E0L-2I0M1H0T0D0",703.06957963916,NA,NA,0
"[lb_av].[sin_i]","LB-IN2","Pound Mass (avoirdupois) Square Inch","http://qudt.org/vocab/unit/LB-IN2","http://qudt.org/vocab/dimensionvector/A0E0L2I0M1H0T0D0",0.0002926397,NA,NA,0
"[lb_av].[sft_i]","LB-FT2","Pound Mass (avoirdupois) Square Foot","http://qudt.org/vocab/unit/LB-FT2","http://qudt.org/vocab/dimensionvector/A0E0L2I0M1H0T0D0",0.04214011,NA,NA,0
"[lb_av].[in_i]-1","LB-PER-IN","Pound per Inch","http://qudt.org/vocab/unit/LB-PER-IN","http://qudt.org/vocab/dimensionvector/A0E0L-1I0M1H0T0D0",17.8579673228346,NA,"""Pound per Inch"" is an Imperial unit for  'Mass Per Length' expressed as \(lb/in\).",0
"[lb_av].[in_i]","LB-IN","Pound Mass (avoirdupois) Inch","http://qudt.org/vocab/unit/LB-IN","http://qudt.org/vocab/dimensionvector/A0E0L1I0M1H0T0D0",0.011521246198,NA,NA,0
"[lb_av].[gal_us]-1","LB-PER-GAL_US","Pound (avoirdupois) Per Gallon (US)","http://qudt.org/vocab/unit/LB-PER-GAL_US","http://qudt.org/vocab/dimensionvector/A0E0L-3I0M1H0T0D0",83.0812213,NA,NA,0
"[lb_av].[gal_br]-1","LB-PER-GAL","Pound per Gallon","http://qudt.org/vocab/unit/LB-PER-GAL","http://qudt.org/vocab/dimensionvector/A0E0L-3I0M1H0T0D0",99.7763727,NA,"""Pound per Gallon"" is an Imperial unit for  'Density' expressed as \(lb/gal\).",0
"[lb_av].[gal_br]-1","LB-PER-GAL_UK","Pound (avoirdupois) Per Gallon (UK)","http://qudt.org/vocab/unit/LB-PER-GAL_UK","http://qudt.org/vocab/dimensionvector/A0E0L-3I0M1H0T0D0",99.77637,NA,NA,0
"[lb_av].[ft_i].s-2.[sft_i]-1","PDL-PER-FT2","Poundal per Square Foot","http://qudt.org/vocab/unit/PDL-PER-FT2","http://qudt.org/vocab/dimensionvector/A0E0L-1I0M1H0T-2D0",1.48816443,NA,"Poundal Per Square Foot (\(pdl/ft^2\)) is a unit in the category of Pressure. It is also known as poundals per square foot, poundal/square foot. This unit is commonly used in the UK, US unit systems. Poundal Per Square Foot has a dimension of \(ML^{-1}T^{-2}\), where M is mass, L is length, and T is time. It can be converted to the corresponding standard SI unit \si{Pa} by multiplying its value by a factor of 1.488163944.",0
"[lb_av].[ft_i].s-2","PDL","Poundal","http://qudt.org/vocab/unit/PDL","http://qudt.org/vocab/dimensionvector/A0E0L1I0M1H0T-2D0",0.138254954376,NA,"The poundal is a unit of force that is part of the foot-pound-second system of units, in Imperial units introduced in 1877, and is from the specialized subsystem of English absolute (a coherent system). The poundal is defined as the force necessary to accelerate 1 pound-mass to 1 foot per second per second. \(1 pdl = 0.138254954376 N\) exactly.",0
"[lb_av].[ft_i]-2","LB-PER-FT2","Pound Mass (avoirdupois) Per Square Foot","http://qudt.org/vocab/unit/LB-PER-FT2","http://qudt.org/vocab/dimensionvector/A0E0L-2I0M1H0T0D0",4.882428,NA,NA,0
"[lb_av].[ft_i]-1.s-1","LB-PER-FT-SEC","Pound per Foot Second","http://qudt.org/vocab/unit/LB-PER-FT-SEC","http://qudt.org/vocab/dimensionvector/A0E0L-1I0M1H0T-1D0",1.48816394356955,NA,"""Pound per Foot Second"" is an Imperial unit for  'Dynamic Viscosity' expressed as \(lb/(ft-s)\).",0
"[lb_av].[ft_i]-1.h-1","LB-PER-FT-HR","Pound per Foot Hour","http://qudt.org/vocab/unit/LB-PER-FT-HR","http://qudt.org/vocab/dimensionvector/A0E0L-1I0M1H0T-1D0",0.00041337887321376,NA,"""Pound per Foot Hour"" is an Imperial unit for  'Dynamic Viscosity' expressed as \(lb/(ft-hr)\).",0
