"unit","qudtUnit","qudtLabel","qudtUri","qudtDimensionVector","qudtConversionMultiplier","nonLatexDescription","latexDescription","TotalUses"
"mo_j","MO_MeanJulian","Mean Julian Month","http://qudt.org/vocab/unit/MO_MeanJulian","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T1D0",NA,NA,NA,0
"mo_g","MO_MeanGREGORIAN","Mean Gregorian Month","http://qudt.org/vocab/unit/MO_MeanGREGORIAN","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T1D0",NA,NA,NA,0
"mo-1","PER-MO","Reciprocal Month","http://qudt.org/vocab/unit/PER-MO","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T-1D0",3.91935077e-07,NA,NA,0
"MO","MO","Month","http://qudt.org/vocab/unit/MO","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T1D0",2551442.976,"A unit of time corresponding approximately to one cycle of the moon's phases, or about 30 days or 4 weeks. Also known as the 'Synodic Month' and calculated as 29.53059 days.",NA,0
"mN.m-1","MilliN-PER-M","Millinewton Per Meter","http://qudt.org/vocab/unit/MilliN-PER-M","http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H0T-2D0",0.001,NA,NA,0
"MN.m","MegaN-M","Meganewton Meter","http://qudt.org/vocab/unit/MegaN-M","http://qudt.org/vocab/dimensionvector/A0E0L2I0M1H0T-2D0",1e+06,NA,NA,0
"mN.m","MilliN-M","Millinewton Meter","http://qudt.org/vocab/unit/MilliN-M","http://qudt.org/vocab/dimensionvector/A0E0L2I0M1H0T-2D0",0.001,NA,NA,0
"mmol/m2/s1","MilliMOL-PER-M2-SEC","Millimoles per square metre per second","http://qudt.org/vocab/unit/MilliMOL-PER-M2-SEC","http://qudt.org/vocab/dimensionvector/A1E0L-2I0M0H0T-1D0",0.001,NA,NA,0
"mmol/L","MilliMOL-PER-L","millimoles per litre","http://qudt.org/vocab/unit/MilliMOL-PER-L","http://qudt.org/vocab/dimensionvector/A1E0L-3I0M0H0T0D0",1,"The SI derived unit for amount-of-substance concentration is the mmo/L.",NA,0
"mmol/kg","MilliMOL-PER-KiloGM","Millimole Per Kilogram","http://qudt.org/vocab/unit/MilliMOL-PER-KiloGM","http://qudt.org/vocab/dimensionvector/A1E0L0I0M-1H0T0D0",0.001,NA,NA,0
"mmol.mol-1","MilliMOL-PER-MOL","Millimoles per mole","http://qudt.org/vocab/unit/MilliMOL-PER-MOL","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T0D1",0.001,NA,NA,0
"mmol.m-3.d-1","MilliMOL-PER-M3-DAY","Millimoles per cubic metre per day","http://qudt.org/vocab/unit/MilliMOL-PER-M3-DAY","http://qudt.org/vocab/dimensionvector/A1E0L-3I0M0H0T-1D0",1.157407407e-08,NA,NA,0
"mmol.m-3","MilliMOL-PER-M3","Millimoles per cubic metre","http://qudt.org/vocab/unit/MilliMOL-PER-M3","http://qudt.org/vocab/dimensionvector/A1E0L-3I0M0H0T0D0",0.001,NA,NA,0
"mmol.m-2.s-1","MilliMOL-PER-M2-SEC","Millimoles per square metre per second","http://qudt.org/vocab/unit/MilliMOL-PER-M2-SEC","http://qudt.org/vocab/dimensionvector/A1E0L-2I0M0H0T-1D0",0.001,NA,NA,0
"mmol.m-2.d-1","MilliMOL-PER-M2-DAY","Millimoles per square metre per day","http://qudt.org/vocab/unit/MilliMOL-PER-M2-DAY","http://qudt.org/vocab/dimensionvector/A1E0L-2I0M0H0T-1D0",1.157407407e-08,NA,NA,0
"mmol.m-2","MilliMOL-PER-M2","Millimoles per square metre","http://qudt.org/vocab/unit/MilliMOL-PER-M2","http://qudt.org/vocab/dimensionvector/A1E0L-2I0M0H0T0D0",0.001,NA,NA,0
"mmol.L-1","MilliMOL-PER-L","millimoles per litre","http://qudt.org/vocab/unit/MilliMOL-PER-L","http://qudt.org/vocab/dimensionvector/A1E0L-3I0M0H0T0D0",1,"The SI derived unit for amount-of-substance concentration is the mmo/L.",NA,0
"mmol.kg-1","MilliMOL-PER-KiloGM","Millimole Per Kilogram","http://qudt.org/vocab/unit/MilliMOL-PER-KiloGM","http://qudt.org/vocab/dimensionvector/A1E0L0I0M-1H0T0D0",0.001,NA,NA,0
"mmol.g-1","MilliMOL-PER-GM","Millimole Per Gram","http://qudt.org/vocab/unit/MilliMOL-PER-GM","http://qudt.org/vocab/dimensionvector/A1E0L0I0M-1H0T0D0",1,NA,NA,0
"mmol","MilliMOL","Millimole","http://qudt.org/vocab/unit/MilliMOL","http://qudt.org/vocab/dimensionvector/A1E0L0I0M0H0T0D0",0.001,NA,NA,0
"mm4","MilliM4","Quartic Millimeter","http://qudt.org/vocab/unit/MilliM4","http://qudt.org/vocab/dimensionvector/A0E0L4I0M0H0T0D0",1e-12,NA,NA,0
"mm3.m-3","MilliM3-PER-M3","Cubic Millimeter Per Cubic Meter","http://qudt.org/vocab/unit/MilliM3-PER-M3","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T0D1",1e-09,NA,NA,0
"mm3","MilliM3","Cubic Millimeter","http://qudt.org/vocab/unit/MilliM3","http://qudt.org/vocab/dimensionvector/A0E0L3I0M0H0T0D0",1e-09,"A metric measure of volume or capacity equal to a cube 1 millimeter on each edge",NA,0
"mm2.s-1","MilliM2-PER-SEC","Square Millimeter Per Second","http://qudt.org/vocab/unit/MilliM2-PER-SEC","http://qudt.org/vocab/dimensionvector/A0E0L2I0M0H0T-1D0",1e-06,NA,NA,0
"mm2","MilliM2","Square Millimeter","http://qudt.org/vocab/unit/MilliM2","http://qudt.org/vocab/dimensionvector/A0E0L2I0M0H0T0D0",1e-06,NA,NA,0
"mm[Hg]{absolute}","MilliM_HGA","Millimeter of Mercury - Absolute","http://qudt.org/vocab/unit/MilliM_HGA","http://qudt.org/vocab/dimensionvector/A0E0L-1I0M1H0T-2D0",NA,"Millimeters of Mercury inclusive of atmospheric pressure",NA,0
"mm[Hg]","MilliM_HG","Millimeter of Mercury","http://qudt.org/vocab/unit/MilliM_HG","http://qudt.org/vocab/dimensionvector/A0E0L-1I0M1H0T-2D0",133.322387415,NA,"The millimeter of mercury is defined as the pressure exerted at the base of a column of fluid exactly 1 mm high, when the density of the fluid is exactly \(13.5951 g/cm^{3}\), at a place where the acceleration of gravity is exactly \(9.80665 m/s^{2}\).",0
